,stream_date,value
334,2023-04-15,-1.0
335,2023-04-15,0.3333333333333333
336,2023-04-15,-0.5
337,2023-04-15,0.0
338,2023-04-15,0.0
339,2023-04-15,0.2857142857142857
340,2023-04-15,0.0
341,2023-04-15,-0.3333333333333333
342,2023-04-15,-0.125
343,2023-04-15,-0.2
344,2023-04-15,0.0
345,2023-04-15,0.3333333333333333
346,2023-04-15,1.0
347,2023-04-15,0.0
348,2023-04-15,0.0
349,2023-04-15,0.0
350,2023-04-15,0.6666666666666666
351,2023-04-15,0.5
352,2023-04-15,0.75
353,2023-04-15,-1.0
354,2023-04-15,0.25
355,2023-04-15,0.0
356,2023-04-15,0.0
357,2023-04-15,0.5
358,2023-04-15,0.3333333333333333
359,2023-04-15,0.2
360,2023-04-15,-0.4
361,2023-04-15,0.0
362,2023-04-15,0.0
363,2023-04-15,1.0
364,2023-04-15,0.6666666666666666
365,2023-04-15,-0.3333333333333333
366,2023-04-15,0.0
367,2023-04-15,0.5
368,2023-04-15,1.0
369,2023-04-15,0.5
370,2023-04-15,0.25
371,2023-04-15,0.3333333333333333
372,2023-04-15,0.0
373,2023-04-15,0.5
374,2023-04-15,0.0
375,2023-04-15,1.0
376,2023-04-15,0.0
377,2023-04-15,1.0
378,2023-04-15,-1.0
379,2023-04-15,0.0
380,2023-04-15,0.0
381,2023-04-15,1.0
382,2023-04-15,0.0
383,2023-04-15,0.0
384,2023-04-15,1.0
385,2023-04-15,1.0
386,2023-04-15,0.6666666666666666
387,2023-04-15,0.0
388,2023-04-15,0.5
389,2023-04-15,1.0
390,2023-04-15,0.0
391,2023-04-15,1.0
392,2023-04-15,0.42857142857142855
393,2023-04-15,0.5
394,2023-04-15,0.6666666666666666
395,2023-04-15,1.0
396,2023-04-15,0.3333333333333333
397,2023-04-15,0.3333333333333333
398,2023-04-15,0.0
399,2023-04-15,1.0
400,2023-04-15,1.0
401,2023-04-15,1.0
402,2023-04-15,0.0
403,2023-04-15,-1.0
404,2023-04-15,0.0
405,2023-04-15,1.0
406,2023-04-15,0.2857142857142857
407,2023-04-15,0.3333333333333333
408,2023-04-15,-0.3333333333333333
409,2023-04-15,0.14285714285714285
410,2023-04-15,0.2222222222222222
411,2023-04-15,0.6
412,2023-04-15,0.5
413,2023-04-15,1.0
414,2023-04-15,-0.125
415,2023-04-15,0.4166666666666667
416,2023-04-15,0.2916666666666667
417,2023-04-15,0.5833333333333334
418,2023-04-15,0.3
419,2023-04-15,0.6
420,2023-04-15,1.0
421,2023-04-15,0.17647058823529413
422,2023-04-15,-0.16666666666666666
423,2023-04-15,-0.09090909090909091
424,2023-04-15,0.3
425,2023-04-15,-0.16666666666666666
426,2023-04-15,0.2857142857142857
427,2023-04-15,0.2857142857142857
428,2023-04-15,-0.047619047619047616
429,2023-04-15,0.0
430,2023-04-15,-0.2
431,2023-04-15,0.7142857142857143
432,2023-04-15,-0.3333333333333333
433,2023-04-15,0.06666666666666667
434,2023-04-15,0.14285714285714285
435,2023-04-15,-0.125
436,2023-04-15,0.25
437,2023-04-15,0.0
438,2023-04-15,0.0
439,2023-04-15,0.0
440,2023-04-15,0.6
441,2023-04-15,-0.2222222222222222
442,2023-04-15,0.75
443,2023-04-15,1.0
444,2023-04-15,0.25
445,2023-04-15,-0.3333333333333333
446,2023-04-15,0.2
447,2023-04-15,0.0
448,2023-04-15,1.0
449,2023-04-15,1.0
450,2023-04-15,0.5
451,2023-04-15,0.0
452,2023-04-15,0.2
453,2023-04-15,1.0
454,2023-04-15,0.14285714285714285
455,2023-04-15,0.2857142857142857
456,2023-04-15,-0.2
457,2023-04-15,0.14285714285714285
458,2023-04-15,-0.125
459,2023-04-15,-0.07692307692307693
460,2023-04-15,0.0
461,2023-04-15,-0.5
462,2023-04-15,-0.6666666666666666
463,2023-04-15,0.0
464,2023-04-15,0.1
465,2023-04-15,0.2
466,2023-04-15,0.0
467,2023-04-15,-0.2
468,2023-04-15,0.5
469,2023-04-15,-0.5
470,2023-04-15,0.2
471,2023-04-15,0.0
472,2023-04-15,0.6
473,2023-04-15,-0.3333333333333333
474,2023-04-15,1.0
475,2023-04-15,-0.6
476,2023-04-15,0.5
477,2023-04-15,0.0
478,2023-04-15,1.0
479,2023-04-15,-1.0
480,2023-04-15,-0.4
481,2023-04-15,0.0
482,2023-04-15,0.0
483,2023-04-15,1.0
484,2023-04-15,0.6666666666666666
485,2023-04-15,0.5
486,2023-04-15,0.5
487,2023-04-15,0.0
488,2023-04-15,1.0
489,2023-04-15,-0.14285714285714285
